gene	Adult_Hind_Gut	Adult_Mid_Gut	Adult_Accessory_gland	Adult_Brain	Adult_Crop	Larval_Wandering_fat_body	Adult_Head	Larvae_Wandering_Tubules	Adult_Ovary	Adult_Testes	Adult_Salivary_Gland	Adult_Carcass	Adult_Thoracoabdominal_ganglion	Larval_Feeding_Hind_Gut	Larval_Feeding_Mid_Gut	Larval_Feeding_Salivary_Gland	Adult_Female_Spermatheca_Mated	Adult_Female_Spermatheca_Virgin	Larval_Feeding_Malpighian_Tubule	Larval_Feeding_Fatbody	Larval_Feeding_Carcass	Larval_Feeding_Central_Nevous_System	Larval_Feeding_Trachea	Adult_Fatbody	Adult_Eye	Adult_Heart	Adult_Male_Ejaculatory_Duct	Adult_Trachea	Adult_Thoracic_Muscle	Adult_Wings
FBgn0038803	12.99911525	9.333944606	9.304263584	11.04683122	13.84121092	7.806413865	11.48496966	9.6762097	10.6251901	8.674630632	10.23792758	10.51659459	11.32404154	9.31621879	8.628546248	8.267393946	10.31843684	10.44294169	9.090220716	6.762687468	9.458552922	9.051601876	11.1478718	9.803204616	12.0335989	9.275510705	12.24041888	10.77033561	7.755360818	12.69849618
FBgn0038804	4.302504126	8.882668515	0.0001	0.0001	0.0001	0.0001	0.0001	11.14161273	4.429986955	0.0001	0.0001	0.0001	0.0001	8.505599885	9.412566968	8.890464248	0.0001	0.0001	11.68208543	0.0001	6.028605997	4.193146664	7.156233506	0.0001	4.486627354	0.0001	5.305428369	0.0001	0.0001	4.166257955
FBgn0038805	7.734791455	7.626947588	8.215977875	7.175586113	6.720847657	7.484690863	6.993152884	7.332128783	9.579841923	7.132351583	7.976547192	8.361048645	6.91510933	8.005919591	7.36556199	8.633995139	6.852028129	6.529819665	7.952743557	7.940990081	7.81094421	9.127851982	7.954434763	7.844480771	7.0809281	8.01048101	7.887133325	6.790172517	10.69286944	6.94148735
FBgn0038806	0.0001	0.0001	0.0001	5.796230709	0.0001	0.0001	4.20448461	0.0001	5.46760118	4.47989262	0.0001	0.0001	5.071369102	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	4.474830123	4.245599681	0.0001	4.556686064	4.188524485	0.0001	0.0001	0.0001	4.365870764
FBgn0038808	9.395415743	9.945321016	11.51828866	9.952218123	9.655656608	10.14478769	9.747669595	9.320622178	10.4412806	10.00658761	11.65444526	9.678244357	9.260602846	9.390295669	9.474676765	12.01854479	9.806084994	9.692277684	9.521722599	10.66188555	10.47390665	10.03348048	10.20154633	10.46582545	9.04336721	9.708274784	11.42167155	9.368791113	0.0001	10.03913367
FBgn0038809	11.2920477	10.908695	11.42433489	12.11858319	11.6265646	10.60533605	11.7432244	12.4220876	10.45975955	9.200411981	10.88151366	11.54989894	12.34282551	11.62184146	11.45234945	9.843191475	11.00807777	11.23622624	11.57726926	10.23287844	11.3969558	10.53175051	11.14895719	11.05205622	11.91115798	12.15200483	12.47259622	12.32766347	11.92184131	12.66941319
FBgn0038810	6.957466407	7.512540783	10.0716776	6.308377805	8.087926404	8.191698637	6.744783362	7.765311896	8.37480311	6.067488011	9.929490176	7.362092278	5.85507456	7.857243356	7.427386083	10.28080076	8.432946944	7.905864765	7.600111433	8.839501985	8.422913605	7.059395443	7.866699869	8.320273765	5.465222294	7.53465975	9.392713921	6.944686844	0.0001	7.178793055
FBgn0038811	5.178896787	5.428728161	6.352938491	5.037437694	6.134976494	0.0001	4.740504355	4.617550624	6.964841172	3.387392312	5.641078573	4.687001543	4.792054541	5.739897209	5.179196264	6.047601846	5.81012773	5.448737621	4.891700647	5.347771412	5.38159207	6.032046034	6.18380039	6.380462231	4.510697753	5.515779425	4.602362868	4.397701897	0.0001	5.386396054
FBgn0038814	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001
FBgn0038815	0.0001	0.0001	0.0001	9.837642258	0.0001	0.0001	7.177750705	0.0001	6.849066249	4.299712934	0.0001	0.0001	9.040790234	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	2.842551159	8.629037622	0.0001	0.0001	4.101015494	0.0001	0.0001	0.0001	0.0001	3.216165381
FBgn0038816	4.082096205	3.587600941	0.0001	7.530815732	4.007357332	2.639334144	5.139491153	5.74493484	5.065384515	2.971446237	4.961038682	0.0001	6.68247943	4.23970644	3.670748826	4.280440789	0.0001	0.0001	5.682921732	0.0001	3.910922633	5.879949879	3.684721039	0.0001	4.697668899	3.434888487	3.641014133	3.271875139	0.0001	3.674098285
